layer	species	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	temp	cont	light
H	Dryas octopetala L.							1	2		2				2			2													1.5	3	5
H	Dryopteris carthusiana (Vill.) H. P. Fuchs																				+										3	3	2
H	Dryopteris dilatata																				2								+		2.5	3	2
H	Dryopteris filix-mas																									1					3	3	2
H	Eleocharis quinqueflora (Hartmann) O. Schwarz = Eleocharis pauciflora																							2							3	3	4
H	Elymus caninus = Agropyron caninum																									1			2		3.5	3	3
H	Empetrum hermaphroditum							+																							1.5	2	4
H	Equisetum pratense																									+					2	4	3
H	Erica carnea L.	1		3	1															1		1					2	1		1	2	4	3
H	Erigeron uniflorus							+																							1	4	5
H	Eriophorum angustifolium															1								1							2.5	3	4
H	Eriophorum latifolium Hoppe															1								1							3	3	4
H	Euphrasia rostkoviana											1	+						2	1			+	+	+				1		3	3	4
H	Festuca pratensis Huds.											2							1														4
H	Festuca rubra aggr.		1										1							1		3	2		2		1		2	+			3
H	Festuca sp.										+																1						
H	Festuca violacea						2	1	+	3					3		1														1.5	4	4
H	Fragaria vesca L.	1																					1		1	r			1	1	3	3	3
H	Galeobdolon flavidum = Lamium / Lamiastrum galeobdolon subsp. flavidum																									+			1		3.5	4	1
H	Galium anisophyllon Vill. (Blaser: pumilum?)			1	1															2		1	1		1		1			+	2	3	4
H	Galium mollugo aggr. (incl. G. album und x pomeranicum)																									1			2	+	3.5	3	3
H	Gentiana acaulis L.						1	+	1		1						1	1		+		1									1.5	3	4
H	Gentiana clusii			r											1																1.5	3	5
H	Gentiana cruciata																					+									3	4	3
H	Gentiana verna							1		+					+							1					r				2.5	3	4
H	Gentianella germanica																										1				3	2	4
H	Geranium phaeum				1																										3	4	3
H	Geranium sylvaticum L.		4									1														+					2.5	3	3
H	Geum montanum L.						1													+		+									1.5	3	4
H	Geum rivale		2																							+			1		3	3	3
H	Globularia nudicaulis																			+							1				2	3	4
H	Gnaphalium hoppeanum																								r						1.5	2	4
H	Goodyera repens	+																													3	4	2
H	Gymnadenia conopsea (L.) R. Br.			1	1															1		1					+				3	3	4
H	Gymnadenia odoratissima (L.) Rich.			1																											3	4	4
H	Gymnocarpium dryopteris (L.) Newman																				1										2.5	2	2
H	Hedysarum hedysaroides									+																					1.5	3	4
H	Helianthemum alpestre (Jacq.) DC.				+			1																							1.5	4	5
H	Helianthemum nummularium subsp. grandiflorum			2	1															1		1					2				4.5	4	5
H	Helictotrichon pubescens subsp. laevigatum 		1				1	1												2		1					2				1.5	4	4
H	Helictotrichon versicolor					+		+									1														1.5	3	4
H	Heracleum sphondylium		+		+																												4
H	Hieracium alpinum										+																				2	3	4
H	Hieracium hoppeanum																			2		1			1		1				2.5	4	4
H	Hieracium lactucella												1			2							2	1							3	3	4
H	Hieracium piliferum Hoppe					r								1																	1	4	5
H	Hieracium spec.				1									1														1					
H	Hieracium sylvaticum = murorum	1							+												1		1		+					1	3	3	2
H	Hieracium villosum			1	1																										2	4	4
H	Hippocrepis comosa																						r				1				3	4	4
H	Homogyne alpina (L.) Cass.	1				1	1	1	1	+	1			1	1		1	1			1	1	+		r		1	+	+	1	2	3	3
H	Huperzia selago (L.) Schrank & Mart.														1													1			2	3	3
H	Hypericum maculatum		2																1	+		1					1				2	3	3
